epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.473,1.18925,3.21659,1.51724,0.39975,0.32924,0.17912,0.15873,1.13219,4.71927,1.54166,0.00017,0.00017,0.00017
2,365.189,0.94078,2.1232,1.34377,0.61241,0.39527,0.2755,0.24079,1.17686,3.26459,1.52012,0.000346535,0.000346535,0.000346535
3,579.441,0.88673,1.94767,1.29288,0.3571,0.39927,0.189,0.13641,1.26231,2.89558,1.54594,0.000519506,0.000519506,0.000519506
4,765.861,0.87752,1.74298,1.27702,0.40365,0.27756,0.2439,0.16921,1.3907,2.88535,1.70955,0.000688913,0.000688913,0.000688913
5,969.219,0.96245,1.76789,1.32724,0.31834,0.41803,0.18251,0.10494,1.48335,3.45266,1.8429,0.000854756,0.000854756,0.000854756
6,1153.41,0.94208,1.75042,1.3173,0.4124,0.11819,0.14048,0.09542,1.31199,6.84965,1.72209,0.0009505,0.0009505,0.0009505
7,1352.8,0.9667,1.6186,1.33795,0.19439,0.29712,0.16821,0.11555,1.34771,3.51555,1.90744,0.0009406,0.0009406,0.0009406
8,1531.44,0.9323,1.67017,1.30245,0.1614,0.3541,0.22378,0.14392,1.39738,2.68289,1.86274,0.0009307,0.0009307,0.0009307
9,1736.36,0.89681,1.58565,1.29085,0.31954,0.28418,0.23471,0.18125,1.34536,2.686,1.73574,0.0009208,0.0009208,0.0009208
10,1919.44,0.95366,1.57288,1.31646,0.38647,0.3156,0.23844,0.16403,1.45891,2.85122,1.8402,0.0009109,0.0009109,0.0009109
11,2114.25,0.88385,1.48889,1.27638,0.4927,0.25749,0.25498,0.16879,1.60618,2.86564,1.88479,0.000901,0.000901,0.000901
12,2309.23,0.85937,1.46588,1.26393,0.33344,0.31445,0.26582,0.19725,1.44717,3.05392,1.83844,0.0008911,0.0008911,0.0008911
13,2511.6,0.88109,1.4907,1.26742,0.28526,0.38249,0.28522,0.2287,1.29509,2.573,1.69581,0.0008812,0.0008812,0.0008812
14,2700.69,0.87369,1.43044,1.25702,0.19692,0.41511,0.26379,0.1936,1.26352,2.20359,1.64872,0.0008713,0.0008713,0.0008713
15,2894.86,0.86375,1.45596,1.28767,0.51862,0.3205,0.23692,0.126,1.4771,2.60354,1.7959,0.0008614,0.0008614,0.0008614
16,3062.02,0.85649,1.46965,1.27929,0.3374,0.28016,0.237,0.13165,1.54568,2.68111,1.79524,0.0008515,0.0008515,0.0008515
